[21, 20, 18, 19, 20, 30, 21, 18]
1.704[21, 19, 17, 19, 20, 33, 27, 24]
1.728[20, 19, 17, 18, 22, 31, 28, 27]
1.75[21, 26, 24, 20, 26, 30, 28, 28]
1.764[24, 30, 26, 21, 29, 34, 31, 30]
1.787[25, 31, 28, 21, 29, 35, 32, 29]
1.81[28, 33, 30, 23, 31, 34, 28, 28]
1.828[29, 34, 31, 23, 29, 32, 27, 26]
1.859[27, 29, 28, 22, 28, 31, 26, 27]
1.87[22, 25, 27, 22, 24, 28, 23, 26]
1.884[21, 24, 25, 21, 24, 34, 23, 29]
1.907[17, 20, 22, 20, 22, 34, 25, 26]
1.93[17, 19, 22, 20, 22, 35, 22, 28]
1.944[17, 18, 19, 21, 18, 36, 23, 25]
1.967[19, 19, 18, 21, 19, 34, 24, 24]
1.99[20, 19, 17, 21, 21, 27, 24, 23]
2.004[21, 18, 21, 22, 21, 26, 26, 26]
2.027[21, 19, 23, 22, 21, 28, 26, 25]
2.05[21, 22, 22, 23, 22, 29, 23, 24]
2.064[20, 25, 23, 24, 24, 34, 24, 23]
2.087[19, 24, 24, 23, 22, 34, 24, 23]
2.11[18, 24, 23, 24, 22, 34, 22, 20]
2.124[18, 25, 20, 23, 21, 32, 23, 22]
2.147[18, 22, 20, 22, 22, 30, 23, 24]
2.17[19, 18, 22, 21, 22, 27, 24, 27]
2.184[19, 17, 21, 22, 21, 26, 22, 26]
2.206[19, 17, 20, 20, 23, 31, 18, 25]
2.23[18, 15, 21, 22, 24, 32, 19, 26]
2.244[20, 15, 21, 22, 23, 32, 20, 26]
2.267[18, 17, 20, 21, 23, 31, 19, 24]
2.29[17, 17, 18, 21, 24, 30, 20, 26]
2.304[17, 19, 18, 22, 24, 27, 22, 28]
2.327[19, 19, 18, 22, 25, 26, 23, 26]
2.357[15, 21, 18, 22, 24, 30, 25, 24]
2.365[17, 20, 18, 23, 22, 31, 24, 24]
2.386[18, 20, 19, 22, 21, 30, 25, 22]
2.41[19, 21, 21, 22, 20, 31, 23, 21]
2.424[18, 21, 20, 21, 18, 31, 24, 24]
2.447[20, 22, 20, 21, 18, 28, 23, 25]
2.47[19, 22, 19, 21, 20, 29, 22, 26]
2.484[20, 24, 19, 21, 20, 31, 21, 26]
2.507[20, 23, 18, 21, 22, 30, 22, 26]
2.53[22, 21, 17, 21, 23, 31, 23, 29]
2.552[21, 19, 17, 21, 24, 31, 24, 30]
2.566[21, 19, 17, 20, 23, 30, 24, 28]
2.59[20, 18, 18, 20, 22, 32, 27, 29]
2.612[20, 21, 18, 20, 21, 33, 24, 26]
2.635[20, 22, 20, 19, 23, 32, 23, 19]
2.649[20, 23, 22, 19, 22, 31, 21, 20]
2.672[21, 24, 24, 20, 25, 31, 21, 19]
2.695[21, 24, 25, 20, 27, 29, 18, 19]
2.709[21, 21, 24, 20, 27, 25, 19, 19]
2.733[19, 20, 23, 21, 25, 26, 19, 22]
2.756[20, 20, 22, 21, 25, 24, 19, 23]
2.769[20, 17, 21, 23, 22, 23, 19, 24]
2.792[20, 17, 20, 22, 24, 26, 18, 25]
2.815[21, 19, 21, 21, 21, 27, 19, 23]
2.829[22, 22, 21, 20, 23, 28, 19, 23]
2.852[21, 24, 22, 22, 23, 29, 19, 21]
2.875[20, 25, 21, 21, 25, 30, 20, 19]
2.889[20, 26, 21, 21, 22, 29, 24, 19]
2.912[20, 25, 20, 20, 24, 29, 24, 19]
2.935[19, 22, 23, 23, 25, 27, 23, 16]
2.949[19, 20, 23, 22, 24, 27, 25, 18]
2.972[19, 22, 24, 21, 24, 26, 25, 19]
2.995[18, 23, 25, 21, 25, 23, 22, 20]
3.009[17, 23, 26, 22, 24, 26, 21, 20]
3.034[20, 25, 23, 20, 23, 26, 20, 23]
