[41, 59, 300, 115, 40, 24, 26, 50]
1.77[38, 80, 264, 126, 47, 31, 24, 24]
1.77[38, 80, 264, 126, 47, 31, 24, 24]
1.77[38, 80, 264, 126, 47, 31, 24, 24]
1.77[38, 80, 264, 126, 47, 31, 24, 24]
1.77[38, 80, 264, 126, 47, 31, 24, 24]
1.77[38, 80, 264, 126, 47, 31, 24, 24]
1.77[38, 67, 227, 117, 45, 28, 20, 21]
1.78[38, 67, 227, 117, 45, 28, 20, 21]
1.78[38, 67, 227, 117, 45, 28, 20, 21]
1.78[38, 67, 227, 117, 45, 28, 20, 21]
1.78[38, 67, 227, 117, 45, 28, 20, 21]
1.78[38, 67, 227, 117, 45, 28, 20, 21]
1.78[38, 67, 227, 117, 45, 28, 20, 21]
1.78[38, 67, 227, 117, 45, 28, 20, 21]
1.78[40, 74, 258, 105, 42, 27, 18, 22]
1.8[40, 74, 258, 105, 42, 27, 18, 22]
1.8[40, 74, 258, 105, 42, 27, 18, 22]
1.8[40, 74, 258, 105, 42, 27, 18, 22]
1.8[40, 74, 258, 105, 42, 27, 18, 22]
1.8[40, 74, 258, 105, 42, 27, 18, 22]
1.8[40, 74, 258, 105, 42, 27, 18, 22]
1.8[40, 74, 258, 105, 42, 27, 18, 22]
1.8[41, 76, 257, 102, 43, 28, 18, 21]
1.83[41, 76, 257, 102, 43, 28, 18, 21]
1.83[41, 76, 257, 102, 43, 28, 18, 21]
1.83[41, 76, 257, 102, 43, 28, 18, 21]
1.83[41, 76, 257, 102, 43, 28, 18, 21]
1.83[41, 76, 257, 102, 43, 28, 18, 21]
1.83[41, 76, 257, 102, 43, 28, 18, 21]
1.83[41, 76, 257, 102, 43, 28, 18, 21]
1.83[38, 71, 282, 98, 41, 29, 19, 23]
1.84[38, 71, 282, 98, 41, 29, 19, 23]
1.84[38, 71, 282, 98, 41, 29, 19, 23]
1.84[38, 71, 282, 98, 41, 29, 19, 23]
1.84[38, 71, 282, 98, 41, 29, 19, 23]
1.84[38, 71, 282, 98, 41, 29, 19, 23]
1.84[38, 71, 282, 98, 41, 29, 19, 23]
1.84[38, 71, 282, 98, 41, 29, 19, 23]
1.84[42, 76, 260, 114, 42, 28, 21, 23]
1.86[42, 76, 260, 114, 42, 28, 21, 23]
1.86[42, 76, 260, 114, 42, 28, 21, 23]
1.86[42, 76, 260, 114, 42, 28, 21, 23]
1.86[42, 76, 260, 114, 42, 28, 21, 23]
1.86[42, 76, 260, 114, 42, 28, 21, 23]
1.86[42, 76, 260, 114, 42, 28, 21, 23]
1.86[42, 76, 260, 114, 42, 28, 21, 23]
1.86[41, 75, 264, 128, 44, 30, 23, 26]
1.89[41, 75, 264, 128, 44, 30, 23, 26]
1.89[41, 75, 264, 128, 44, 30, 23, 26]
1.89[41, 75, 264, 128, 44, 30, 23, 26]
1.89[41, 75, 264, 128, 44, 30, 23, 26]
1.89[41, 75, 264, 128, 44, 30, 23, 26]
1.89[41, 75, 264, 128, 44, 30, 23, 26]
1.89[41, 75, 264, 128, 44, 30, 23, 26]
1.89[41, 66, 231, 134, 42, 31, 23, 27]
1.9[41, 66, 231, 134, 42, 31, 23, 27]
1.9[41, 66, 231, 134, 42, 31, 23, 27]
1.9[41, 66, 231, 134, 42, 31, 23, 27]
1.9[41, 66, 231, 134, 42, 31, 23, 27]
1.9[41, 66, 231, 134, 42, 31, 23, 27]
1.9[41, 66, 231, 134, 42, 31, 23, 27]
1.9[41, 66, 231, 134, 42, 31, 23, 27]
1.9[39, 61, 257, 138, 36, 28, 25, 27]
1.92[39, 61, 257, 138, 36, 28, 25, 27]
1.92[39, 61, 257, 138, 36, 28, 25, 27]
1.92[39, 61, 257, 138, 36, 28, 25, 27]
1.92[39, 61, 257, 138, 36, 28, 25, 27]
1.92[39, 61, 257, 138, 36, 28, 25, 27]
1.92[39, 61, 257, 138, 36, 28, 25, 27]
1.92[39, 61, 257, 138, 36, 28, 25, 27]
1.92[38, 59, 223, 140, 36, 29, 25, 26]
1.95[38, 59, 223, 140, 36, 29, 25, 26]
1.95[38, 59, 223, 140, 36, 29, 25, 26]
1.95[38, 59, 223, 140, 36, 29, 25, 26]
1.95[38, 59, 223, 140, 36, 29, 25, 26]
1.95[38, 59, 223, 140, 36, 29, 25, 26]
1.95[38, 59, 223, 140, 36, 29, 25, 26]
1.95[38, 59, 223, 140, 36, 29, 25, 26]
1.95[33, 58, 225, 124, 32, 30, 23, 25]
1.97[33, 58, 225, 124, 32, 30, 23, 25]
1.97[33, 58, 225, 124, 32, 30, 23, 25]
1.97[33, 58, 225, 124, 32, 30, 23, 25]
1.97[33, 58, 225, 124, 32, 30, 23, 25]
1.97[33, 58, 225, 124, 32, 30, 23, 25]
1.97[33, 58, 225, 124, 32, 30, 23, 25]
1.97[33, 58, 225, 124, 32, 30, 23, 25]
1.97[37, 74, 235, 121, 31, 27, 22, 22]
1.98[37, 74, 235, 121, 31, 27, 22, 22]
1.98[37, 74, 235, 121, 31, 27, 22, 22]
1.98[37, 74, 235, 121, 31, 27, 22, 22]
1.98[37, 74, 235, 121, 31, 27, 22, 22]
1.98[37, 74, 235, 121, 31, 27, 22, 22]
1.98[37, 74, 235, 121, 31, 27, 22, 22]
1.98[37, 74, 235, 121, 31, 27, 22, 22]
1.98[36, 75, 253, 120, 35, 27, 21, 23]
2.01[36, 75, 253, 120, 35, 27, 21, 23]
2.01[36, 75, 253, 120, 35, 27, 21, 23]
2.01[36, 75, 253, 120, 35, 27, 21, 23]
2.01[36, 75, 253, 120, 35, 27, 21, 23]
2.01[36, 75, 253, 120, 35, 27, 21, 23]
2.01[36, 75, 253, 120, 35, 27, 21, 23]
2.01[36, 75, 253, 120, 35, 27, 21, 23]
2.01[36, 78, 241, 109, 39, 30, 22, 25]
2.03[36, 78, 241, 109, 39, 30, 22, 25]
2.03[36, 78, 241, 109, 39, 30, 22, 25]
2.03[36, 78, 241, 109, 39, 30, 22, 25]
2.03[36, 78, 241, 109, 39, 30, 22, 25]
2.03[36, 78, 241, 109, 39, 30, 22, 25]
2.03[36, 78, 241, 109, 39, 30, 22, 25]
2.03[36, 78, 241, 109, 39, 30, 22, 25]
2.03[36, 84, 251, 107, 38, 27, 23, 24]
2.04[36, 84, 251, 107, 38, 27, 23, 24]
2.04[36, 84, 251, 107, 38, 27, 23, 24]
2.04[36, 84, 251, 107, 38, 27, 23, 24]
2.04[36, 84, 251, 107, 38, 27, 23, 24]
2.04[36, 84, 251, 107, 38, 27, 23, 24]
2.04[36, 84, 251, 107, 38, 27, 23, 24]
2.04[36, 84, 251, 107, 38, 27, 23, 24]
2.04[36, 82, 251, 101, 37, 25, 22, 24]
2.07[36, 82, 251, 101, 37, 25, 22, 24]
2.07[36, 82, 251, 101, 37, 25, 22, 24]
2.07[36, 82, 251, 101, 37, 25, 22, 24]
2.07[36, 82, 251, 101, 37, 25, 22, 24]
2.07[36, 82, 251, 101, 37, 25, 22, 24]
2.07[36, 82, 251, 101, 37, 25, 22, 24]
2.07[36, 82, 251, 101, 37, 25, 22, 24]
2.07[39, 71, 223, 88, 42, 29, 24, 23]
2.09[39, 71, 223, 88, 42, 29, 24, 23]
2.09[39, 71, 223, 88, 42, 29, 24, 23]
2.09[39, 71, 223, 88, 42, 29, 24, 23]
2.09[39, 71, 223, 88, 42, 29, 24, 23]
2.09[39, 71, 223, 88, 42, 29, 24, 23]
2.09[39, 71, 223, 88, 42, 29, 24, 23]
2.09[39, 71, 223, 88, 42, 29, 24, 23]
2.09[37, 70, 240, 112, 40, 29, 25, 22]
2.1[37, 70, 240, 112, 40, 29, 25, 22]
2.1[37, 70, 240, 112, 40, 29, 25, 22]
2.1[37, 70, 240, 112, 40, 29, 25, 22]
2.1[37, 70, 240, 112, 40, 29, 25, 22]
2.1[37, 70, 240, 112, 40, 29, 25, 22]
2.1[37, 70, 240, 112, 40, 29, 25, 22]
2.1[37, 70, 240, 112, 40, 29, 25, 22]
2.1[41, 69, 223, 111, 41, 26, 24, 19]
2.13[41, 69, 223, 111, 41, 26, 24, 19]
2.13[41, 69, 223, 111, 41, 26, 24, 19]
2.13[41, 69, 223, 111, 41, 26, 24, 19]
2.13[41, 69, 223, 111, 41, 26, 24, 19]
2.13[41, 69, 223, 111, 41, 26, 24, 19]
2.13[41, 69, 223, 111, 41, 26, 24, 19]
2.13[41, 69, 223, 111, 41, 26, 24, 19]
2.13[44, 73, 218, 125, 49, 29, 23, 21]
2.15[44, 73, 218, 125, 49, 29, 23, 21]
2.15[44, 73, 218, 125, 49, 29, 23, 21]
2.15[44, 73, 218, 125, 49, 29, 23, 21]
2.15[44, 73, 218, 125, 49, 29, 23, 21]
2.15[44, 73, 218, 125, 49, 29, 23, 21]
2.15[44, 73, 218, 125, 49, 29, 23, 21]
2.15[44, 73, 218, 125, 49, 29, 23, 21]
2.15[44, 69, 209, 123, 50, 36, 23, 21]
2.16[44, 69, 209, 123, 50, 36, 23, 21]
2.16[44, 69, 209, 123, 50, 36, 23, 21]
2.16[44, 69, 209, 123, 50, 36, 23, 21]
2.16[44, 69, 209, 123, 50, 36, 23, 21]
2.16[44, 69, 209, 123, 50, 36, 23, 21]
2.16[44, 69, 209, 123, 50, 36, 23, 21]
2.16[44, 69, 209, 123, 50, 36, 23, 21]
2.16[42, 66, 329, 154, 49, 32, 24, 26]
2.19[42, 66, 329, 154, 49, 32, 24, 26]
2.19[42, 66, 329, 154, 49, 32, 24, 26]
2.19[42, 66, 329, 154, 49, 32, 24, 26]
2.19[42, 66, 329, 154, 49, 32, 24, 26]
2.19[42, 66, 329, 154, 49, 32, 24, 26]
2.19[42, 66, 329, 154, 49, 32, 24, 26]
2.19[42, 66, 329, 154, 49, 32, 24, 26]
2.19[44, 65, 316, 140, 47, 31, 23, 26]
2.21[44, 65, 316, 140, 47, 31, 23, 26]
2.21[44, 65, 316, 140, 47, 31, 23, 26]
2.21[44, 65, 316, 140, 47, 31, 23, 26]
2.21[44, 65, 316, 140, 47, 31, 23, 26]
2.21[44, 65, 316, 140, 47, 31, 23, 26]
2.21[44, 65, 316, 140, 47, 31, 23, 26]
2.21[44, 65, 316, 140, 47, 31, 23, 26]
2.21[43, 64, 323, 144, 46, 31, 23, 26]
2.22[43, 64, 323, 144, 46, 31, 23, 26]
2.22[43, 64, 323, 144, 46, 31, 23, 26]
2.22[43, 64, 323, 144, 46, 31, 23, 26]
2.22[43, 64, 323, 144, 46, 31, 23, 26]
2.22[43, 64, 323, 144, 46, 31, 23, 26]
2.22[43, 64, 323, 144, 46, 31, 23, 26]
2.22[43, 64, 323, 144, 46, 31, 23, 26]
2.22[40, 62, 324, 132, 40, 29, 22, 25]
2.25[40, 62, 324, 132, 40, 29, 22, 25]
2.25[40, 62, 324, 132, 40, 29, 22, 25]
2.25[40, 62, 324, 132, 40, 29, 22, 25]
2.25[40, 62, 324, 132, 40, 29, 22, 25]
2.25[40, 62, 324, 132, 40, 29, 22, 25]
2.25[40, 62, 324, 132, 40, 29, 22, 25]
2.25[40, 62, 324, 132, 40, 29, 22, 25]
2.25[39, 62, 326, 149, 45, 21, 24, 25]
2.27[39, 62, 326, 149, 45, 21, 24, 25]
2.27[39, 62, 326, 149, 45, 21, 24, 25]
2.27[39, 62, 326, 149, 45, 21, 24, 25]
2.27[39, 62, 326, 149, 45, 21, 24, 25]
2.27[39, 62, 326, 149, 45, 21, 24, 25]
2.27[39, 62, 326, 149, 45, 21, 24, 25]
2.27[39, 62, 326, 149, 45, 21, 24, 25]
2.27[36, 60, 225, 141, 44, 23, 23, 20]
2.28[36, 60, 225, 141, 44, 23, 23, 20]
2.28[36, 60, 225, 141, 44, 23, 23, 20]
2.28[36, 60, 225, 141, 44, 23, 23, 20]
2.28[36, 60, 225, 141, 44, 23, 23, 20]
2.28[36, 60, 225, 141, 44, 23, 23, 20]
2.28[36, 60, 225, 141, 44, 23, 23, 20]
2.28[36, 60, 225, 141, 44, 23, 23, 20]
2.28[33, 54, 199, 136, 47, 24, 21, 20]
2.31[33, 54, 199, 136, 47, 24, 21, 20]
2.31[33, 54, 199, 136, 47, 24, 21, 20]
2.31[33, 54, 199, 136, 47, 24, 21, 20]
2.31[33, 54, 199, 136, 47, 24, 21, 20]
2.31[33, 54, 199, 136, 47, 24, 21, 20]
2.31[33, 54, 199, 136, 47, 24, 21, 20]
2.31[33, 54, 199, 136, 47, 24, 21, 20]
2.31[33, 57, 184, 133, 47, 27, 22, 20]
2.33[33, 57, 184, 133, 47, 27, 22, 20]
2.33[33, 57, 184, 133, 47, 27, 22, 20]
2.33[33, 57, 184, 133, 47, 27, 22, 20]
2.33[33, 57, 184, 133, 47, 27, 22, 20]
2.33[33, 57, 184, 133, 47, 27, 22, 20]
2.33[33, 57, 184, 133, 47, 27, 22, 20]
2.33[33, 57, 184, 133, 47, 27, 22, 20]
2.33[33, 59, 192, 131, 47, 28, 22, 21]
2.34[33, 59, 192, 131, 47, 28, 22, 21]
2.34[33, 59, 192, 131, 47, 28, 22, 21]
2.34[33, 59, 192, 131, 47, 28, 22, 21]
2.34[33, 59, 192, 131, 47, 28, 22, 21]
2.34[33, 59, 192, 131, 47, 28, 22, 21]
2.34[33, 59, 192, 131, 47, 28, 22, 21]
2.34[33, 59, 192, 131, 47, 28, 22, 21]
2.34[34, 60, 226, 133, 49, 29, 21, 23]
2.37[34, 60, 226, 133, 49, 29, 21, 23]
2.37[34, 60, 226, 133, 49, 29, 21, 23]
2.37[34, 60, 226, 133, 49, 29, 21, 23]
2.37[34, 60, 226, 133, 49, 29, 21, 23]
2.37[34, 60, 226, 133, 49, 29, 21, 23]
2.37[34, 60, 226, 133, 49, 29, 21, 23]
2.37[34, 60, 226, 133, 49, 29, 21, 23]
2.37[37, 69, 256, 140, 48, 30, 20, 23]
2.39[37, 69, 256, 140, 48, 30, 20, 23]
2.39[37, 69, 256, 140, 48, 30, 20, 23]
2.39[37, 69, 256, 140, 48, 30, 20, 23]
2.39[37, 69, 256, 140, 48, 30, 20, 23]
2.39[37, 69, 256, 140, 48, 30, 20, 23]
2.39[37, 69, 256, 140, 48, 30, 20, 23]
2.39[37, 69, 256, 140, 48, 30, 20, 23]
2.39[40, 80, 268, 140, 47, 30, 22, 26]
2.41[40, 80, 268, 140, 47, 30, 22, 26]
2.41[40, 80, 268, 140, 47, 30, 22, 26]
2.41[40, 80, 268, 140, 47, 30, 22, 26]
2.41[40, 80, 268, 140, 47, 30, 22, 26]
2.41[40, 80, 268, 140, 47, 30, 22, 26]
2.41[40, 80, 268, 140, 47, 30, 22, 26]
2.41[40, 80, 268, 140, 47, 30, 22, 26]
2.41[42, 81, 269, 148, 46, 28, 21, 26]
2.43[42, 81, 269, 148, 46, 28, 21, 26]
2.43[42, 81, 269, 148, 46, 28, 21, 26]
2.43[42, 81, 269, 148, 46, 28, 21, 26]
2.43[42, 81, 269, 148, 46, 28, 21, 26]
2.43[42, 81, 269, 148, 46, 28, 21, 26]
2.43[42, 81, 269, 148, 46, 28, 21, 26]
2.43[42, 81, 269, 148, 46, 28, 21, 26]
2.43[42, 74, 278, 162, 49, 28, 22, 25]
2.45[42, 74, 278, 162, 49, 28, 22, 25]
2.45[42, 74, 278, 162, 49, 28, 22, 25]
2.45[42, 74, 278, 162, 49, 28, 22, 25]
2.45[42, 74, 278, 162, 49, 28, 22, 25]
2.45[42, 74, 278, 162, 49, 28, 22, 25]
2.45[42, 74, 278, 162, 49, 28, 22, 25]
2.45[42, 74, 278, 162, 49, 28, 22, 25]
2.45[46, 78, 252, 171, 47, 26, 23, 24]
2.47[46, 78, 252, 171, 47, 26, 23, 24]
2.47[46, 78, 252, 171, 47, 26, 23, 24]
2.47[46, 78, 252, 171, 47, 26, 23, 24]
2.47[46, 78, 252, 171, 47, 26, 23, 24]
2.47[46, 78, 252, 171, 47, 26, 23, 24]
2.47[46, 78, 252, 171, 47, 26, 23, 24]
2.47[46, 78, 252, 171, 47, 26, 23, 24]
2.47[44, 73, 180, 145, 45, 23, 22, 24]
2.49[44, 73, 180, 145, 45, 23, 22, 24]
2.49[44, 73, 180, 145, 45, 23, 22, 24]
2.49[44, 73, 180, 145, 45, 23, 22, 24]
2.49[44, 73, 180, 145, 45, 23, 22, 24]
2.49[44, 73, 180, 145, 45, 23, 22, 24]
2.49[44, 73, 180, 145, 45, 23, 22, 24]
2.49[44, 73, 180, 145, 45, 23, 22, 24]
2.49[43, 69, 175, 141, 44, 23, 21, 21]
2.51[43, 69, 175, 141, 44, 23, 21, 21]
2.51[43, 69, 175, 141, 44, 23, 21, 21]
2.51[43, 69, 175, 141, 44, 23, 21, 21]
2.51[43, 69, 175, 141, 44, 23, 21, 21]
2.51[43, 69, 175, 141, 44, 23, 21, 21]
2.51[43, 69, 175, 141, 44, 23, 21, 21]
2.51[43, 69, 175, 141, 44, 23, 21, 21]
2.51[42, 70, 225, 137, 45, 24, 21, 22]
2.53[42, 70, 225, 137, 45, 24, 21, 22]
2.53[42, 70, 225, 137, 45, 24, 21, 22]
2.53[42, 70, 225, 137, 45, 24, 21, 22]
2.53[42, 70, 225, 137, 45, 24, 21, 22]
2.53[42, 70, 225, 137, 45, 24, 21, 22]
2.53[42, 70, 225, 137, 45, 24, 21, 22]
2.53[42, 70, 225, 137, 45, 24, 21, 22]
2.53[42, 77, 234, 138, 44, 23, 21, 24]
2.55[42, 77, 234, 138, 44, 23, 21, 24]
2.55[42, 77, 234, 138, 44, 23, 21, 24]
2.55[42, 77, 234, 138, 44, 23, 21, 24]
2.55[42, 77, 234, 138, 44, 23, 21, 24]
2.55[42, 77, 234, 138, 44, 23, 21, 24]
2.55[42, 77, 234, 138, 44, 23, 21, 24]
2.55[42, 77, 234, 138, 44, 23, 21, 24]
2.55[36, 70, 239, 107, 41, 25, 19, 25]
2.57[36, 70, 239, 107, 41, 25, 19, 25]
2.57[36, 70, 239, 107, 41, 25, 19, 25]
