[17, 19, 18, 18, 19, 18, 22, 40]
0.805[19, 18, 18, 21, 19, 19, 22, 23]
0.82[19, 19, 16, 20, 19, 19, 23, 24]
0.843[22, 24, 24, 19, 22, 21, 26, 25]
0.866[27, 26, 27, 20, 24, 26, 28, 24]
0.88[27, 25, 28, 20, 25, 26, 26, 25]
0.903[27, 27, 30, 18, 25, 28, 27, 26]
0.925[28, 27, 31, 19, 24, 26, 26, 24]
0.948[27, 22, 29, 18, 23, 25, 23, 24]
0.963[23, 20, 27, 18, 23, 20, 22, 25]
0.986[22, 21, 26, 20, 22, 20, 22, 24]
1.007[20, 19, 24, 21, 21, 18, 21, 21]
1.023[19, 18, 23, 20, 21, 19, 20, 21]
1.046[18, 18, 20, 21, 20, 17, 20, 18]
1.067[18, 18, 20, 21, 19, 18, 19, 17]
1.083[18, 16, 24, 20, 19, 17, 19, 17]
1.106[17, 17, 23, 17, 19, 17, 21, 17]
1.127[19, 18, 21, 19, 19, 18, 20, 17]
1.149[18, 17, 22, 18, 19, 20, 21, 18]
1.166[18, 17, 21, 19, 19, 19, 21, 18]
1.187[16, 17, 18, 20, 18, 21, 21, 18]
1.204[17, 21, 20, 21, 19, 21, 19, 18]
1.226[15, 22, 20, 22, 19, 22, 20, 19]
1.247[16, 22, 19, 22, 18, 19, 20, 20]
1.263[15, 22, 22, 22, 18, 22, 20, 20]
1.286[20, 23, 21, 21, 19, 22, 20, 20]
1.307[21, 18, 19, 21, 17, 22, 19, 21]
1.323[21, 19, 22, 19, 17, 22, 19, 21]
1.353[21, 22, 21, 20, 18, 23, 17, 20]
1.367[22, 22, 21, 18, 18, 20, 20, 21]
1.384[19, 22, 22, 18, 21, 21, 21, 22]
1.412[18, 22, 23, 18, 21, 20, 22, 20]
1.427[20, 20, 22, 17, 22, 20, 22, 21]
1.443[20, 17, 21, 16, 21, 19, 22, 21]
1.466[20, 18, 20, 17, 20, 19, 20, 20]
1.487[20, 18, 18, 17, 17, 18, 21, 19]
1.503[18, 17, 17, 16, 17, 18, 21, 21]
1.526[17, 18, 16, 19, 15, 18, 19, 22]
1.547[18, 19, 20, 19, 16, 18, 21, 22]
1.563[16, 22, 19, 19, 17, 19, 20, 22]
1.586[17, 21, 21, 19, 17, 20, 20, 22]
1.607[18, 23, 23, 19, 19, 21, 22, 22]
1.623[21, 22, 22, 17, 21, 20, 23, 21]
1.646[20, 21, 20, 16, 22, 20, 22, 21]
1.667[21, 18, 20, 16, 23, 20, 22, 22]
1.691[21, 18, 20, 16, 23, 19, 22, 22]
1.706[22, 18, 21, 16, 22, 19, 22, 21]
1.727[19, 20, 22, 21, 21, 19, 21, 18]
1.749[21, 19, 24, 23, 20, 18, 21, 19]
1.772[21, 18, 24, 23, 21, 17, 19, 19]
1.788[21, 21, 23, 21, 22, 18, 19, 19]
1.809[20, 20, 22, 22, 21, 17, 18, 20]
1.832[21, 20, 22, 19, 21, 17, 20, 20]
