[37, 132, 41, 32, 35, 33, 31, 25]
0.365[37, 138, 41, 36, 38, 34, 30, 21]
0.388[36, 118, 42, 32, 37, 32, 29, 24]
0.41[37, 126, 41, 30, 37, 30, 30, 25]
0.425[33, 129, 37, 30, 32, 26, 24, 23]
0.448[36, 135, 33, 27, 28, 25, 24, 20]
0.47[39, 140, 34, 23, 21, 20, 25, 22]
0.495[37, 138, 34, 22, 21, 20, 22, 22]
0.51[39, 207, 39, 23, 21, 20, 23, 21]
0.53[39, 202, 44, 23, 20, 23, 25, 20]
0.545[35, 195, 42, 23, 23, 23, 25, 21]
0.567[31, 193, 40, 23, 22, 22, 23, 20]
0.59[32, 194, 40, 23, 21, 23, 24, 20]
0.605[33, 117, 34, 22, 22, 24, 20, 20]
0.627[42, 128, 33, 22, 22, 21, 22, 22]
0.65[44, 134, 31, 20, 19, 22, 20, 22]
0.665[50, 141, 39, 18, 20, 23, 22, 23]
0.687[51, 145, 38, 18, 21, 25, 23, 21]
0.71[48, 141, 39, 18, 21, 23, 25, 20]
0.725[41, 152, 34, 17, 21, 24, 21, 20]
0.747[39, 143, 36, 19, 22, 24, 22, 21]
0.77[39, 157, 36, 19, 24, 24, 24, 19]
0.784[37, 149, 35, 19, 24, 21, 23, 21]
0.807[41, 150, 35, 19, 23, 24, 21, 21]
0.838[41, 122, 35, 18, 23, 22, 24, 23]
0.852[44, 126, 34, 20, 25, 23, 23, 23]
0.868[40, 94, 26, 23, 22, 22, 19, 24]
0.891[40, 90, 25, 24, 22, 23, 19, 23]
0.912[35, 85, 25, 24, 21, 20, 21, 24]
0.928[33, 85, 24, 25, 21, 24, 17, 23]
0.951[29, 85, 22, 23, 19, 24, 18, 23]
0.966[27, 82, 24, 21, 21, 24, 20, 22]
0.988[27, 83, 26, 21, 23, 24, 19, 23]
1.018[28, 119, 27, 23, 23, 23, 19, 21]
1.025[29, 115, 29, 22, 23, 20, 19, 19]
1.048[27, 116, 29, 23, 24, 19, 22, 18]
1.071[25, 117, 27, 23, 22, 19, 23, 18]
1.086[28, 149, 28, 25, 23, 19, 25, 17]
1.108[27, 128, 28, 23, 23, 22, 26, 19]
1.131[25, 129, 26, 22, 24, 22, 27, 19]
1.146[32, 130, 28, 21, 22, 23, 27, 20]
1.168[44, 185, 35, 22, 23, 24, 25, 21]
1.197[44, 174, 35, 19, 21, 23, 22, 21]
1.212[45, 206, 38, 22, 22, 24, 23, 20]
1.228[55, 255, 61, 66, 37, 29, 26, 23]
1.252[69, 358, 200, 156, 92, 40, 29, 28]
1.272[72, 419, 286, 203, 139, 51, 34, 34]
