[13, 17, 19, 20, 20, 16, 22, 19]
1.673[14, 17, 18, 20, 18, 16, 22, 19]
1.696[16, 19, 23, 21, 25, 23, 26, 23]
1.717[20, 22, 27, 21, 29, 24, 24, 22]
1.739[23, 23, 27, 19, 30, 25, 25, 24]
1.755[25, 25, 29, 18, 30, 26, 24, 26]
1.777[26, 25, 31, 19, 30, 26, 25, 26]
1.797[25, 24, 29, 17, 26, 24, 19, 21]
1.816[23, 22, 26, 18, 23, 23, 21, 21]
1.836[22, 21, 25, 19, 22, 23, 21, 22]
1.853[21, 19, 22, 18, 22, 22, 23, 21]
1.875[20, 22, 22, 20, 22, 23, 23, 20]
1.897[20, 21, 20, 21, 22, 19, 24, 21]
1.92[20, 19, 17, 21, 21, 19, 23, 21]
1.935[19, 20, 19, 21, 21, 18, 24, 20]
1.956[19, 21, 19, 20, 20, 19, 20, 20]
1.973[19, 19, 20, 17, 20, 18, 20, 21]
1.995[19, 20, 20, 16, 18, 20, 20, 21]
2.017[19, 21, 21, 15, 17, 20, 20, 20]
2.033[19, 21, 19, 17, 18, 22, 21, 18]
2.055[18, 19, 20, 18, 19, 21, 23, 19]
2.077[18, 20, 18, 20, 21, 21, 21, 18]
2.093[17, 19, 19, 20, 23, 20, 23, 18]
2.122[16, 18, 18, 20, 21, 23, 23, 19]
2.137[16, 20, 19, 19, 20, 22, 22, 20]
2.159[16, 19, 20, 17, 20, 22, 22, 20]
2.176[22, 18, 21, 17, 19, 23, 22, 21]
2.197[21, 18, 21, 18, 18, 23, 20, 21]
2.219[21, 18, 22, 18, 21, 23, 20, 21]
2.236[21, 18, 22, 18, 20, 22, 21, 21]
2.257[23, 18, 21, 19, 19, 22, 20, 22]
2.279[18, 19, 20, 17, 19, 20, 20, 22]
2.295[19, 20, 18, 18, 19, 19, 20, 21]
2.316[19, 20, 19, 18, 16, 17, 20, 21]
2.339[18, 20, 18, 19, 18, 15, 19, 22]
2.356[17, 19, 22, 19, 18, 20, 19, 22]
2.384[16, 19, 22, 20, 18, 21, 19, 21]
2.399[17, 17, 22, 21, 20, 21, 21, 21]
2.415[17, 18, 21, 21, 19, 21, 21, 23]
2.438[17, 19, 20, 21, 19, 24, 20, 20]
2.459[18, 20, 18, 23, 20, 22, 20, 19]
2.476[19, 21, 19, 22, 20, 22, 21, 20]
2.497[17, 21, 20, 20, 20, 22, 19, 20]
2.519[18, 20, 20, 19, 21, 22, 19, 18]
2.536[19, 19, 20, 17, 23, 21, 20, 22]
2.557[19, 19, 19, 15, 22, 20, 19, 22]
2.579[18, 21, 20, 17, 23, 19, 19, 21]
2.602[20, 20, 21, 17, 22, 19, 18, 22]
2.616[20, 20, 20, 19, 21, 18, 19, 23]
2.639[19, 22, 21, 20, 20, 18, 18, 21]
2.662[19, 22, 20, 21, 21, 17, 18, 23]
2.685[22, 21, 18, 22, 20, 18, 17, 22]
2.699[20, 22, 17, 23, 20, 18, 16, 21]
2.722[20, 22, 18, 22, 22, 19, 17, 20]
2.744[19, 20, 19, 22, 22, 18, 16, 19]
2.759[19, 19, 20, 22, 20, 18, 17, 17]
2.782[15, 17, 22, 21, 23, 16, 18, 17]
2.804[17, 19, 24, 21, 23, 18, 19, 19]
2.819[15, 18, 23, 20, 22, 20, 18, 20]
2.843[18, 21, 23, 20, 23, 20, 19, 19]
2.864[18, 22, 25, 21, 24, 20, 18, 19]
2.879[21, 23, 24, 22, 22, 21, 18, 19]
2.902[20, 23, 23, 21, 22, 20, 19, 19]
2.924[21, 23, 24, 22, 21, 18, 19, 20]
2.939[20, 22, 24, 22, 20, 19, 17, 20]
2.962[20, 22, 23, 21, 20, 18, 16, 21]
2.984[18, 20, 22, 21, 19, 19, 17, 21]
2.999[19, 19, 22, 23, 18, 19, 16, 19]
3.022[18, 20, 22, 22, 18, 20, 17, 20]
3.044[19, 19, 21, 23, 18, 19, 19, 21]
3.059[20, 20, 19, 23, 16, 18, 19, 19]
3.082[19, 22, 20, 24, 16, 17, 20, 19]
3.104[18, 21, 19, 22, 17, 17, 20, 21]
3.127[18, 21, 19, 22, 18, 16, 20, 19]
3.142[18, 22, 20, 19, 18, 16, 19, 18]
3.164[18, 19, 21, 19, 17, 17, 21, 19]
3.179[18, 19, 21, 17, 17, 18, 21, 20]
3.202[20, 19, 22, 17, 18, 19, 21, 18]
3.224[20, 18, 23, 17, 18, 21, 21, 17]
3.239[19, 18, 22, 17, 20, 20, 22, 17]
3.262[19, 19, 21, 20, 21, 21, 19, 15]
3.284[21, 18, 19, 21, 22, 23, 18, 15]
