[21, 22, 20, 26, 25, 25, 22, 40]
0.895[22, 22, 20, 25, 22, 25, 19, 24]
0.919[22, 23, 21, 23, 22, 24, 21, 22]
0.939[21, 21, 21, 22, 23, 24, 19, 21]
0.956[17, 21, 22, 23, 22, 22, 18, 19]
0.978[18, 19, 23, 21, 19, 20, 23, 19]
0.999[20, 20, 23, 22, 20, 22, 25, 18]
1.022[19, 19, 23, 21, 18, 24, 25, 17]
1.038[20, 18, 24, 19, 17, 24, 25, 17]
1.059[19, 19, 23, 20, 17, 25, 25, 18]
1.082[19, 19, 21, 20, 20, 27, 23, 19]
1.098[18, 18, 22, 20, 20, 25, 24, 20]
1.119[19, 19, 21, 20, 23, 24, 22, 21]
1.142[20, 20, 20, 20, 22, 22, 22, 22]
1.158[21, 19, 18, 18, 23, 22, 24, 22]
1.179[22, 19, 22, 18, 22, 19, 24, 22]
1.202[22, 19, 20, 19, 22, 21, 23, 21]
1.218[21, 21, 19, 19, 21, 24, 24, 20]
1.239[22, 21, 21, 18, 23, 25, 25, 22]
1.262[23, 22, 24, 18, 21, 27, 23, 22]
1.278[24, 23, 22, 17, 21, 28, 25, 23]
1.299[22, 23, 22, 18, 21, 27, 22, 25]
1.323[22, 20, 23, 18, 22, 26, 22, 25]
1.338[22, 20, 23, 19, 22, 24, 21, 25]
1.359[21, 20, 21, 22, 24, 23, 22, 24]
1.382[19, 20, 20, 23, 23, 22, 21, 22]
1.398[21, 21, 22, 22, 22, 23, 24, 19]
1.42[19, 23, 20, 23, 22, 22, 26, 22]
1.442[19, 22, 19, 23, 21, 22, 27, 21]
1.458[19, 22, 20, 21, 17, 22, 27, 22]
1.479[17, 22, 19, 21, 19, 23, 30, 21]
1.502[16, 24, 20, 21, 19, 22, 27, 22]
1.518[18, 25, 22, 21, 19, 24, 27, 21]
1.547[17, 25, 23, 21, 19, 26, 27, 21]
1.571[16, 24, 22, 21, 21, 24, 28, 19]
1.578[19, 23, 23, 23, 20, 22, 24, 20]
1.599[19, 25, 21, 21, 20, 24, 24, 19]
1.63[20, 22, 20, 21, 21, 22, 21, 17]
1.646[21, 22, 20, 22, 22, 19, 23, 17]
1.659[23, 23, 21, 21, 20, 21, 20, 20]
1.682[22, 23, 23, 21, 21, 21, 20, 19]
1.699[21, 19, 24, 21, 22, 23, 20, 19]
1.719[21, 19, 25, 20, 19, 23, 20, 19]
1.742[23, 20, 25, 22, 20, 25, 18, 22]
1.758[21, 20, 24, 21, 20, 25, 17, 20]
1.779[21, 21, 23, 20, 20, 26, 19, 23]
1.802[22, 21, 22, 22, 22, 24, 19, 25]
1.824[22, 20, 20, 22, 23, 24, 21, 26]
1.855[19, 21, 23, 19, 22, 24, 20, 23]
1.862[17, 19, 23, 19, 22, 23, 22, 23]
1.884[19, 19, 21, 20, 22, 22, 21, 20]
1.907[20, 21, 22, 18, 20, 22, 22, 19]
1.922[26, 21, 22, 18, 21, 24, 20, 20]
1.948[26, 21, 21, 19, 23, 23, 21, 19]
1.967[27, 22, 21, 18, 24, 27, 19, 19]
1.982[26, 23, 21, 17, 23, 26, 20, 20]
2.004[26, 22, 22, 19, 23, 25, 18, 20]
2.027[21, 24, 25, 20, 23, 24, 19, 22]
2.044[22, 23, 24, 19, 21, 23, 22, 22]
2.064[26, 23, 24, 19, 21, 18, 21, 22]
2.087[26, 25, 25, 20, 21, 19, 23, 23]
2.102[26, 25, 23, 20, 21, 20, 22, 22]
2.125[27, 24, 21, 19, 20, 18, 25, 22]
2.147[25, 24, 19, 21, 20, 18, 23, 23]
2.162[23, 25, 21, 21, 21, 19, 23, 22]
2.185[22, 24, 19, 22, 20, 19, 23, 20]
2.208[21, 23, 25, 21, 22, 21, 24, 20]
2.222[19, 22, 24, 20, 22, 21, 23, 21]
2.244[19, 23, 25, 20, 22, 21, 22, 21]
2.267[18, 22, 24, 19, 21, 22, 23, 22]
2.282[23, 20, 25, 21, 21, 21, 20, 24]
2.304[22, 19, 21, 22, 19, 21, 21, 23]
2.327[23, 21, 21, 22, 18, 21, 20, 23]
2.342[23, 23, 21, 20, 18, 23, 21, 24]
2.364[24, 21, 19, 21, 18, 22, 23, 22]
2.387[19, 22, 19, 18, 19, 22, 24, 21]
2.403[21, 21, 20, 21, 20, 21, 23, 21]
2.424[21, 23, 22, 21, 20, 25, 24, 21]
2.447[20, 20, 22, 21, 22, 23, 24, 18]
2.462[20, 20, 23, 21, 23, 25, 20, 19]
2.484[19, 18, 23, 21, 22, 25, 21, 17]
2.507[20, 21, 22, 20, 22, 25, 22, 19]
2.53[20, 18, 24, 20, 23, 23, 21, 18]
2.545[21, 18, 23, 20, 20, 24, 21, 20]
2.567[25, 21, 23, 19, 20, 24, 22, 21]
2.59[25, 21, 25, 22, 20, 24, 20, 23]
2.604[23, 18, 26, 20, 21, 23, 19, 22]
2.627[24, 19, 23, 21, 21, 22, 19, 24]
2.65[25, 22, 22, 21, 20, 24, 18, 23]
2.672[24, 19, 22, 22, 20, 22, 17, 22]
2.687[23, 22, 22, 20, 21, 21, 17, 22]
2.71[22, 23, 20, 19, 20, 22, 17, 20]
2.724[23, 23, 21, 18, 22, 20, 15, 21]
2.747[21, 22, 25, 18, 22, 18, 20, 22]
2.77[21, 26, 23, 17, 21, 19, 20, 23]
2.784[21, 25, 23, 18, 23, 21, 23, 20]
2.807[21, 24, 23, 18, 24, 22, 22, 21]
2.831[22, 25, 24, 20, 23, 23, 23, 19]
2.844[24, 25, 21, 20, 24, 22, 20, 18]
2.867[22, 22, 21, 19, 27, 23, 20, 17]
2.891[21, 25, 23, 18, 24, 22, 20, 19]
2.904[25, 25, 22, 21, 26, 20, 19, 20]
2.927[23, 22, 21, 20, 25, 20, 20, 20]
2.95[21, 22, 22, 21, 26, 19, 20, 21]
2.964[22, 22, 24, 22, 23, 18, 21, 22]
2.987[23, 19, 22, 25, 25, 17, 20, 21]
