[16, 16, 19, 19, 17, 18, 20, 18]
0.656[16, 15, 18, 21, 16, 18, 20, 19]
0.679[16, 16, 19, 21, 16, 17, 19, 19]
0.701[17, 17, 19, 21, 14, 17, 22, 18]
0.717[16, 18, 19, 22, 14, 19, 20, 19]
0.738[17, 17, 20, 21, 17, 18, 20, 20]
0.761[19, 19, 23, 21, 22, 25, 27, 24]
0.776[23, 24, 25, 23, 26, 27, 27, 25]
0.799[24, 26, 26, 23, 27, 26, 26, 26]
0.821[24, 25, 26, 22, 28, 27, 26, 27]
0.836[24, 25, 26, 22, 26, 27, 25, 27]
0.858[23, 24, 22, 20, 23, 22, 19, 22]
0.881[19, 20, 19, 17, 19, 20, 22, 22]
0.896[17, 18, 18, 17, 18, 18, 21, 20]
0.918[16, 19, 17, 18, 17, 17, 21, 18]
0.941[16, 20, 19, 19, 21, 17, 19, 17]
0.956[16, 20, 20, 19, 19, 17, 19, 18]
0.979[16, 19, 20, 19, 18, 16, 18, 18]
1.001[17, 18, 20, 19, 18, 18, 19, 19]
1.016[18, 19, 23, 19, 20, 19, 20, 20]
1.038[19, 19, 24, 19, 17, 19, 21, 20]
1.061[18, 19, 22, 18, 18, 19, 21, 19]
1.076[17, 19, 22, 20, 19, 19, 19, 20]
1.098[17, 19, 23, 21, 22, 18, 18, 21]
1.121[17, 20, 20, 19, 20, 17, 18, 20]
1.144[16, 19, 18, 19, 19, 18, 19, 21]
1.158[18, 19, 17, 20, 20, 17, 20, 21]
1.181[18, 18, 18, 18, 18, 18, 21, 22]
1.204[18, 18, 19, 18, 16, 18, 22, 23]
1.227[17, 18, 19, 21, 17, 20, 21, 22]
1.241[18, 18, 19, 20, 20, 19, 21, 21]
1.264[17, 16, 19, 20, 19, 22, 19, 21]
1.279[17, 18, 18, 20, 21, 23, 20, 21]
1.302[18, 20, 16, 19, 20, 22, 19, 20]
1.324[17, 19, 16, 16, 18, 21, 20, 21]
1.339[17, 19, 16, 18, 18, 21, 20, 21]
1.361[19, 21, 16, 18, 19, 18, 21, 19]
1.384[18, 21, 16, 17, 20, 19, 21, 18]
1.407[18, 18, 17, 18, 20, 20, 22, 19]
1.421[18, 19, 18, 20, 20, 20, 22, 18]
1.444[19, 19, 18, 18, 19, 21, 22, 18]
1.458[18, 17, 18, 19, 19, 20, 23, 19]
1.481[19, 17, 19, 21, 17, 20, 23, 19]
1.504[19, 16, 20, 21, 17, 20, 21, 18]
1.519[19, 17, 21, 21, 19, 19, 22, 17]
1.541[18, 18, 23, 22, 19, 20, 21, 19]
1.564[17, 20, 25, 21, 20, 20, 19, 20]
1.587[17, 20, 24, 21, 20, 19, 18, 20]
1.609[18, 21, 24, 20, 22, 19, 17, 20]
1.625[19, 21, 23, 20, 21, 20, 16, 20]
1.647[19, 21, 21, 20, 23, 18, 18, 19]
1.669[21, 21, 20, 21, 24, 18, 18, 18]
1.684[23, 20, 20, 20, 23, 18, 17, 17]
1.707[22, 20, 20, 20, 21, 18, 18, 19]
1.729[21, 20, 21, 20, 21, 20, 18, 20]
1.744[23, 18, 21, 19, 19, 21, 17, 19]
